"race","cluster","n","proportion"
"Black","C1",79,0.301526717557252
"Black","C2",63,0.240458015267176
"Black","C3",101,0.385496183206107
"Black","C4",19,0.0725190839694656
"White","C1",106,0.343042071197411
"White","C2",40,0.129449838187702
"White","C3",84,0.271844660194175
"White","C4",79,0.255663430420712
