"gene"
"MUC16"
"MUC5B"
"COL1A1"
"IGHG1"
"FN1"
"SRRM2"
"NPIPB5"
"MUC12"
"EEF1A1"
"PABPC1"
"NPIPB3"
"C3"
"IGKC"
"PLEC"
"IGHM"
"COL1A2"
"COL3A1"
"FLNA"
"AHNAK"
"MACF1"
"FTH1"
"RNF213"
"ERBB2"
"NPIPB12"
"CLU"
"DSP"
"LAMA5"
"SYNE2"
"IGLC2"
"EGR1"
"RESF1"
"RPL13A"
"GAPDH"
"RPL19"
"RPL4"
"BCAM"
"PKHD1L1"
"VCAN"
"EEF2"
"VIM"
"IGF2"
"EEF1G"
"HSP90AB1"
"ACTB"
"COL6A3"
"PRRC2C"
"FLG"
"GTF2IP13"
"RPS6"
"MYH9"
"WNK1"
"PRKDC"
"ATN1"
"RPS18"
"HSPG2"
"LRP1"
"RPL8"
"RPL3"
"DST"
"RPL18A"
"RPLP0"
"EPPK1"
"PNN"
"RPL27A"
"COL12A1"
"MUC1"
"KMT2C"
"PARP14"
"PTMA"
"EIF4A2"
"AKAP9"
"RPL26"
"PTPRF"
"RPS17"
"RPL7"
"EIF3C"
"RPL32"
"NUMA1"
"CP"
"HSP90AA1"
"KTN1"
"FTL"
"LENG8"
"HUWE1"
"RPLP1"
"RPS3"
"KLF6"
"CD74"
"NR4A1"
"KMT2D"
"ITPR2"
"COL6A1"
"ITGB4"
"AFDN"
"TPT1"
"OBSCN"
"RPS4X"
"IGLC3"
"NIPBL"
"ANKRD17"
"SYNE1"
"EIF4G1"
"AMY1C"
"RPS2"
"ACTN4"
"RPS20"
"GNAS"
"THBS1"
"RPSA"
"AEBP1"
"DYNC1H1"
"COL5A1"
"KRT8"
"RPL23"
"SORL1"
"RPS11"
"YBX1"
"ARHGAP5"
"SLC34A2"
"HNRNPA1"
"RPL17"
"RANBP2"
"PNISR"
"RPL13"
"ACTG1"
"RPL5"
"CHD3"
"HSPA8"
"COL6A2"
"NPM1"
"CALD1"
"RPL12"
"NCL"
"KIF1A"
"ANKRD11"
"RPL10"
"BPTF"
"AGRN"
"UBA1"
"UTRN"
"DLG5"
"PKM"
"SULF1"
"SPON1"
"SPTAN1"
"MKI67"
"RACK1"
"KRT18"
"PAX8"
"DDX17"
"SMARCA4"
"CENPF"
"UBR5"
"SPTBN1"
"FOS"
"COL18A1"
"TRPS1"
"HSPB1"
"PLXNB1"
"RPL14"
"EIF3E"
"NACA"
"MDK"
"AHNAK2"
"IQGAP1"
"RSF1"
"CHD7"
"ALDOA"
"HDLBP"
"ANKRD36"
"APP"
"PABPC4"
"EIF4G2"
"RPS26"
"NCOR2"
"CELSR1"
"GOLGB1"
"HSP90B1"
"MYOF"
"RPL11"
"SF3B1"
"GREB1"
"IFITM3"
"PCM1"
"PLXNB2"
"FAT1"
"ALMS1"
"SMG1"
"USP53"
"VEGFA"
"RRBP1"
"HNRNPU"
"CSDE1"
"SMG1P3"
"CREBBP"
"TNRC18"
"SERPING1"
"MXRA5"
"KIAA1217"
"RPS16"
"PODXL"
"TNFAIP2"
"RPS3A"
"CHI3L1"
"GOLGA4"
"C4B"
"PGGHG"
"PDIA4"
"RPL28"
"GRB7"
"PKD1"
"BAZ2B"
"BLTP1"
"RPL36"
"UBR4"
"OGT"
"KMT2E"
"SON"
"EIF4B"
"TUBA1B"
"TPR"
"RPL37"
"ENO1"
"USP34"
"VPS13B"
"BICD1"
"NKTR"
"BIRC6"
"SIPA1L3"
"GOLGA8A"
"ITPR3"
"EIF3A"
"ILF3"
"SPARC"
"FLNB"
"USP9X"
"POGZ"
"RBM39"
"ZFP36L1"
"SMC4"
"RPL37A"
"PRUNE2"
"PLEKHG2"
"SRRM1"
"ASPM"
"KMT2A"
"UBC"
"FASN"
"ATRX"
"RPS8"
"SRCAP"
"RPL6"
"SPEN"
"UACA"
"TTC3"
"JMJD1C"
"GAB2"
"IGF1R"
"MYH10"
"SOS1"
"LRRC37A4P"
"CIITA"
"RGPD6"
"RPS24"
"CDK12"
"IGLC1"
"ITGB8"
"CELSR2"
"CIC"
"CALR"
"ATP2B4"
"ASH1L"
"CANX"
"ZMIZ1"
"MX1"
"LRBA"
"ZFP36L2"
"LUC7L3"
"BCAT1"
"HNRNPUL1"
"MSLN"
"PRKCI"
"RERE"
"VPS13C"
"IGHA1"
"TNS3"
"KAT6B"
"URI1"
"ARFGEF1"
"STAT1"
"SUPT5H"
"MYO10"
"SRSF11"
"RPS27A"
"TSC2"
"HECTD4"
"THSD4"
"BRD4"
"TPM4"
"ADAR"
"LRIG1"
"ANXA2"
"PHF3"
"ZNF217"
"EP300"
"RPL21"
"PPL"
"KRT19"
"PTPRS"
"ANKRD36C"
"PATJ"
"MYH14"
"TNS1"
"MYO9B"
"ARID1A"
"POTEF"
"MROH1"
"SPP1"
"RPL41"
"MAP1B"
"ZFP36"
"HLA-B"
"RPL15"
"LAMC1"
"PRRC2A"
"UBAP2L"
"FOSB"
"GPI"
"XPO1"
"RAI1"
"ADAMTS9"
"RPL31"
"RPS10"
"LARP1"
"ARGLU1"
"PSAP"
"RPS7"
"TRIO"
"CPLANE1"
"ZNF91"
"FMR1"
"NDRG1"
"NPIPA1"
"KIF5B"
"SMG1P1"
"TENM4"
"CTTN"
"A2M"
"SNRNP200"
"COL4A2"
"ASS1"
"LAMB1"
"NPIPB4"
"TOP2B"
"FAM27E3"
"TLN1"
"ZNF638"
"CCDC6"
"EIF3H"
"KRT7"
"ZNF462"
"SEPTIN9"
"DEK"
"BLTP2"
"LAMA3"
"TPI1"
"EYA2"
"PDIA3"
"NSD1"
"POTEE"
"MYCBP2"
"VPS13D"
"NAP1L1"
"RPL24"
"MATR3"
"INTS3"
"FBN1"
"LTF"
"NPIPB11"
"ATXN2L"
"ITGA3"
"MBD6"
"NOTCH3"
"THBS2"
"EEF1B2"
"DDX5"
"FCGBP"
"ITGB1"
"CDH6"
"HECTD1"
"CNOT1"
"MT-ND4"
"TRRAP"
"BOD1L1"
"COL5A2"
"POM121"
"DYNC2H1"
"RPL10A"
"CBLB"
"RPS5"
"MMP2"
"LDHA"
"HP"
"REV3L"
"STAB1"
"MDN1"
"LTBP3"
"INF2"
"ARID2"
"HERC2P2"
"LRP2"
"RPLP2"
"FGFR1"
"POSTN"
"RNPC3"
"PPFIBP1"
"NUCKS1"
"RPL35A"
"UBA52"
"CHD2"
"SVIL"
"APLP2"
"RPL9"
"YLPM1"
"MECOM"
"MT-CO1"
"BHLHE41"
"MEIS1"
"SETD5"
"GSN"
"NFAT5"
"VPS13A"
"FAT2"
"MYO15B"
"RPS15A"
"SCRIB"
"SETD2"
"NBEAL2"
"ANKHD1"
"FNDC3B"
"LTBP2"
"COL11A1"
"RAD21"
"CDC42BPA"
"NOTCH2"
"INPPL1"
"CAST"
"ZNF292"
"CHD4"
"WFDC2"
"HNRNPA2B1"
"RGPD8"
"ITM2B"
"ATP1A1"
"ARID1B"
"CHD9"
"PRR12"
"CTSD"
"ANPEP"
"RBM25"
"EPB41L2"
"LAMA2"
"IGFN1"
"PCBP2"
"ADGRL2"
"SPTBN2"
"ARHGEF12"
"HSPD1"
"GTF2I"
"DAG1"
"HIPK2"
"NF1"
"TASOR2"
"DCN"
"ZFHX3"
"ROCK1"
"SCAF11"
"RPL30"
"PLXNA3"
"KMT2B"
"RPRD2"
"C7"
"GAS6"
"STARD3"
"PXDN"
"ARHGEF34P"
"PEG3"
"ZNF469"
"ZC3H11A"
"NAV2"
"ANK2"
"EP400"
"RPL35"
"CPSF1"
"CTNNB1"
"TTN"
"HMCN1"
"BGN"
"PTK2"
"RPL18"
