"PC","prop_variance","pct_variance"
"PC1",0.0889335656887422,8.89335656887422
"PC2",0.0808878389163475,8.08878389163475
"PC3",0.0741316315401448,7.41316315401447
"PC4",0.0486216532976756,4.86216532976756
"PC5",0.0362562976801312,3.62562976801312
"PC6",0.0338921802844998,3.38921802844998
"PC7",0.0188272445100789,1.88272445100789
"PC8",0.0161150423266823,1.61150423266823
"PC9",0.0148607838991508,1.48607838991508
"PC10",0.0139306270224333,1.39306270224333
